university,campus,track,major,major_desc,keywords,related_subjects,related_activities
상명대학교,서울,자연,전기공학전공,전기 및 에너지 시스템을 연구하는 전공,전기|에너지|제어|전자|전력시스템|스마트그리드|전기차|신재생에너지|회로설계|자동제어|변리사|전기기사,물리학I|물리학II|미적분|기하|화학I|정보,물리실험|회로제작|아두이노|에너지탐구|전기키트조립|공학동아리
상명대학교,서울,자연,게임전공,게임 기획과 개발 전반을 다루는 전공,게임|기획|개발|콘텐츠|게임개발자|게임기획자|게임그래픽|유니티|언리얼|가상현실|VR|AR|스토리텔링,정보|프로그래밍|미술|물리학I|확률과통계|기하,게임제작|코딩동아리|시나리오작성|캐릭터디자인|게임분석보고서|VR체험
상명대학교,서울,자연,생명공학전공,생명과학을 기반으로 바이오 기술을 연구하는 전공,생명과학|바이오|연구|기술|생명공학자|제약회사|바이오시밀러|유전공학|세포배양|면역학|화장품|연구원,생명과학I|생명과학II|화학I|화학II|미적분|확률과통계,생물실험|DNA추출|과학탐구대회|논문분석|바이오동아리|해부실험
상명대학교,서울,자연,화학에너지공학전공,화학공학 원리를 기반으로 에너지 문제를 다루는 전공,화학공학|에너지|소재|배터리|이차전지|신재생에너지|수소에너지|반응공학|공정설계|열역학|화학소재,화학I|화학II|물리학I|물리학II|미적분|기하,화학실험|에너지프로젝트|전지만들기|환경탐구|과학동아리|공정모형제작
상명대학교,서울,자연,화공신소재전공,화학공학과 신소재 기술을 융합한 전공,신소재|화학공학|융합|고분자|나노소재|반도체소재|디스플레이|세라믹|재료공학|복합소재|섬유|연구원,화학I|화학II|물리학I|물리학II|미적분|기하,신소재탐구|결정구조만들기|화학실험|신소재동아리|R&E활동|논문읽기
상명대학교,서울,자연,식품영양학전공,식품과 영양을 과학적으로 연구하는 전공,식품|영양|건강|과학|영양사|식품연구원|임상영양사|급식경영|식품위생|조리과학|다이어트|헬스케어,화학I|생명과학I|생명과학II|가정과학|확률과통계,식단작성|영양소분석|요리실습|식품첨가물탐구|급식모니터링|건강캠페인
상명대학교,서울,자연,의류학과,의복과 패션 산업을 학문적으로 탐구하는 학과,의류|패션|디자인|산업|패션디자이너|MD|VMD|패션마케팅|의복구성|섬유소재|패션트렌드|의류학,미술|생활과과학|세계사|화학I|사회·문화,의상제작|패션쇼기획|포트폴리오|패션일러스트|트렌드분석|동대문답사
광운대학교,서울,자연,전자공학과,"전자회로, 반도체, 통신 등 전자기술 전반을 다루는 학과",전자회로|반도체|통신|전자시스템|하드웨어|임베디드|IoT|회로설계|마이크로프로세서|신호처리|삼성전자|SK하이닉스,물리학I|물리학II|미적분|기하|화학I|정보,회로실험|아두이노|납땜실습|로봇제작|전자키트|물리심화탐구
광운대학교,서울,자연,전자통신공학과,이동통신과 네트워크를 중심으로 정보 전달 기술을 연구하는 학과,이동통신|네트워크|신호처리|통신기술|5G|6G|무선통신|광통신|네트워크엔지니어|통신보안|전파|위성통신,물리학I|물리학II|미적분|기하|확률과통계|정보,통신원리탐구|전파실험|코딩동아리|네트워크구축|과학탐구보고서
광운대학교,서울,자연,전자융합공학과,전자공학을 기반으로 IoT와 스마트기기 등 융합 기술을 다루는 학과,전자융합|IoT|스마트기기|헬스케어|센서|웨어러블|드론|자율주행|융합기술|전자소자|회로|시스템통합,물리학I|물리학II|정보|미적분|생명과학I|화학I,IoT프로젝트|센서제작|융합과학탐구|드론코딩|메이커활동|발명대회
광운대학교,서울,자연,전기공학과,전기 및 에너지 시스템을 연구하는 학과,전력|에너지|전기시스템|스마트그리드|신재생에너지|전기기기|전력전자|한전|발전소|송배전|전기차|자동제어,물리학I|물리학II|미적분|기하|화학I|지구과학I,전기실험|에너지효율탐구|발전기원리|전동기제작|물리동아리|견학보고서
광운대학교,서울,자연,전자재료공학과,반도체와 디스플레이 등 첨단 전자소재를 연구하는 학과,전자소재|반도체|디스플레이|재료|OLED|나노소재|태양전지|박막공정|재료공학|물성|소자|연구원,화학I|화학II|물리학I|물리학II|미적분|기하,소재분석|결정성장실험|화학동아리|반도체공정탐구|신소재프로젝트|논문스터디
광운대학교,서울,자연,반도체시스템공학전공,반도체 소자와 시스템 설계를 종합적으로 다루는 전공,반도체소자|시스템설계|공정|회로|반도체설계|시스템반도체|메모리|팹리스|파운드리|VLSI|반도체장비|엔지니어,물리학I|물리학II|화학I|미적분|기하|정보,반도체뉴스스크랩|논리회로실습|공정원리탐구|물리심화학습|기업분석
광운대학교,서울,자연,컴퓨터정보공학부,컴퓨터 시스템과 소프트웨어 전반을 교육하는 학부,컴퓨터|시스템|소프트웨어|IT|시스템소프트웨어|임베디드|네트워크|보안|클라우드|서버관리|아키텍처|리눅스,정보|정보과학|미적분|확률과통계|물리학I,리눅스실습|서버구축|네트워크실습|코딩동아리|컴퓨터구조탐구|보안해킹
광운대학교,서울,자연,소프트웨어학부,프로그래밍과 알고리즘을 기반으로 소프트웨어 기술을 학습하는 학부,프로그래밍|알고리즘|소프트웨어|AI|풀스택|웹개발|앱개발|백엔드|프론트엔드|게임개발|객체지향|오픈소스,정보|정보과학|미적분|확률과통계|수학과제탐구,알고리즘문제풀이|앱개발프로젝트|해커톤|SW봉사|코딩멘토링|웹사이트제작
광운대학교,서울,자연,정보융합학부,데이터와 정보기술을 인간과 서비스 중심으로 융합하는 학부,데이터|정보기술|융합|UX|데이터시각화|공공데이터|서비스기획|UI디자인|빅데이터|인포그래픽|정보설계|통계,확률과통계|정보|사회·문화|미술|미적분,데이터분석|설문조사통계|인포그래픽제작|UX리서치|서비스기획안|융합프로젝트
광운대학교,서울,자연,AI로봇전공,인공지능과 로봇 기술을 융합한 지능형 시스템 전공,인공지능|로봇|자율주행|제어|로보틱스|딥러닝|강화학습|영상처리|드론|휴머노이드|메카트로닉스|자동화,미적분|기하|물리학I|물리학II|정보|인공지능기초,로봇제작|자율주행키트|AI모델링|드론조종|물리탐구|제어프로그래밍
광운대학교,서울,자연,건축학과(5년제),건축 설계와 이론을 종합적으로 교육하는 학과,건축설계|공간|도시환경|건축이론|건축가|건축사|설계사무소|도시재생|실내건축|친환경건축|건축디자인|CAD,미술|물리학I|수학II|기하|한국지리|사회·문화,건축모형제작|공간스케치|건축답사|설계도면그리기|도시관찰|미술동아리
광운대학교,서울,자연,건축공학과,건축 구조와 시공 기술을 중심으로 교육하는 학과,건축구조|시공|안전|공정|건설|구조역학|건축재료|건설경영|플랜트|토목|안전진단|구조기술사,물리학I|물리학II|미적분|기하|화학I|지구과학I,구조물제작|내진설계실험|건설현장답사|재료실험|물리프로젝트|안전포스터
광운대학교,서울,자연,화학공학과,화학 반응과 공정 설계를 기반으로 산업 문제를 해결하는 학과,화학공정|에너지|소재|바이오|반응공학|석유화학|고분자|촉매|플랜트설계|화장품|제약|엔지니어,화학I|화학II|물리학I|물리학II|미적분|기하,비누만들기|화학합성실험|공정설계도|신재생에너지탐구|화학동아리|환경이슈
광운대학교,서울,자연,환경공학과,환경오염 문제를 과학적으로 분석하고 해결하는 학과,환경오염|환경관리|친환경기술|수질|대기|폐기물|환경기사|기후변화|탄소중립|정화기술|에너지회수|지속가능,화학I|화학II|생명과학I|생명과학II|지구과학I|미적분,수질분석|대기오염측정|환경캠페인|재활용프로젝트|생태탐구|환경신문
광운대학교,서울,자연,수학과,수학 이론과 응용을 체계적으로 교육하는 학과,수학이론|응용수학|논리|분석|수학자|금융수학|데이터분석|암호학|해석학|대수학|위상수학|통계,수학I|수학II|미적분|확률과통계|기하|경제수학,수학증명|문제출제|수학동아리|암호해독|수리논술|통계분석
광운대학교,서울,자연,전자바이오물리학과,물리학 기반 전자와 바이오 기술을 융합하는 학과,바이오물리|전자|융합|기초과학|물리학자|바이오센서|의료기기|나노물리|양자역학|광학|연구원|반도체물리,물리학I|물리학II|화학I|생명과학I|미적분|기하,물리실험|현미경관찰|바이오센서탐구|융합과학동아리|이론스터디|과학기사
광운대학교,서울,자연,화학과,물질의 구조와 성질을 탐구하는 기초과학 학과,화학|물질|구조|실험|화학자|분석화학|유기화학|무기화학|물리화학|제약|신약개발|연구원,화학I|화학II|물리학I|미적분|생명과학I,화학반응실험|물질합성|분자모형조립|화학동아리|실험보고서|과학논문
광운대학교,서울,인문,국어국문학과,한국어와 한국 문학을 학문적으로 연구하는 학과,국어|문학|언어|비평|작가|출판|방송작가|기자|카피라이터|한국어강사|문법|고전문학,국어|문학|언어와매체|화법과작문|고전읽기|한국사,시창작|소설쓰기|문학평론|교지편집|백일장|독서토론
광운대학교,서울,인문,영어산업학과,영어 능력과 산업 실무를 결합한 실용 학과,영어|비즈니스|실무|글로벌|무역|통번역|해외영업|영어회화|비즈니스영어|관광|항공|국제사무,영어I|영어II|영어회화|실용영어|경제|세계지리,영어발표|모의무역|영어인터뷰|팝송번역|글로벌문화체험|영어토론
광운대학교,서울,인문,미디어커뮤니케이션학부,미디어와 커뮤니케이션 현상을 이론과 실습으로 탐구하는 학부,미디어|커뮤니케이션|콘텐츠|디지털|PD|기자|아나운서|광고|홍보|1인미디어|저널리즘|영상제작,사회·문화|언어와매체|화법과작문|생활과윤리|예술|정보,영상편집|뉴스제작|광고기획|유튜브활동|카드뉴스제작|언론동아리
광운대학교,서울,인문,산업심리학과,인간의 행동과 심리를 산업 현장에 적용하는 학과,산업심리|조직|소비자|행동|인사관리|HRD|상담|심리검사|리서치|마케팅|조직문화|직무분석,심리학|사회·문화|확률과통계|생활과윤리|경제,심리실험|설문조사|성격유형검사|소비자심리분석|또래상담|상담동아리
광운대학교,서울,인문,동북아문화산업학부,동북아시아 문화와 산업을 종합적으로 연구하는 학부,동북아|문화산업|국제교류|콘텐츠|한중일|지역학|문화기획|한류|엔터테인먼트|국제협력|문화마케팅,동아시아사|세계사|사회·문화|중국어|일본어|여행지리,문화체험|지역탐구|교류활동|콘텐츠비교|언어학습|국제이슈
광운대학교,서울,인문,행정학과,국가와 지방자치단체의 정책과 행정 운영을 연구하는 학과,행정|정책|공공관리|공무원|공기업|정책분석|도시행정|복지행정|인사행정|정부|리더십|공공서비스,정치와법|사회·문화|경제|윤리와사상|확률과통계,정책토론|모의국무회의|사회문제해결|봉사활동|자치법규분석|학생회
광운대학교,서울,인문,법학부,법 이론과 제도를 체계적으로 교육하는 학과,법|법이론|법률|공공|판사|검사|변호사|로스쿨|법무사|공인노무사|헌법|민법|형법,정치와법|사회·문화|생활과윤리|윤리와사상|화법과작문,모의재판|법정견학|판례분석|법률토론|자치법정|헌법조항탐구
광운대학교,서울,인문,국제학부,국제 사회의 정치·경제·문화를 종합적으로 탐구하는 학부,국제정치|국제경제|문화|글로벌|외교관|국제기구|NGO|지역전문가|국제협력|해외봉사|다문화|국제법,국제정치|국제경제|세계지리|세계사|영어|제2외국어,모의유엔|국제이슈토론|외교동아리|해외봉사|글로벌매너|영어에세이
광운대학교,서울,인문,경영학전공,기업과 조직 운영 전반을 교육하는 경영 전공,경영|조직|전략|마케팅|CEO|회계사|세무사|인사관리|재무|창업|컨설팅|기업분석,경제|수학I|수학II|확률과통계|사회·문화|실용경제,창업대회|모의주식|마케팅기획|경영동아리|기업탐방|시장조사
광운대학교,서울,인문,빅데이터경영전공,데이터 분석을 경영 의사결정에 활용하는 전공,빅데이터|경영|데이터분석|전략|비즈니스애널리틱스|통계|R|파이썬|데이터마이닝|시장분석|CRM|의사결정,확률과통계|정보|경제|수학I|미적분,데이터분석|통계프로젝트|코딩학습|설문결과분석|경영수학|빅데이터활용
광운대학교,서울,인문,국제통상학부,무역과 국제 비즈니스를 중심으로 글로벌 경제를 연구하는 학부,국제통상|무역|글로벌경제|관세사|무역상사|물류|해외영업|국제금융|전자무역|FTA|코트라|외환,경제|국제경제|영어|세계지리|사회·문화|수학I,무역실무실습|환율분석|국제뉴스스크랩|경제동아리|무역영어|글로벌경제토론
명지대학교,인문,인문,국어국문학전공,한국어와 한국 문학의 구조와 의미를 탐구하는 전공,국어|문학|언어|비평|작가|편집자|국어교사|방송작가|스토리텔링|출판기획|문법|고전문학,국어|문학|언어와매체|화법과작문|고전읽기|한국사,시화전|문학답사|독서토론|교지편집|글쓰기대회|우리말탐구
명지대학교,인문,인문,영어영문학전공,영어학과 영문학을 중심으로 언어와 문화를 연구하는 전공,영어|영문학|언어|문화|통번역|영어강사|무역|외국계기업|영미문학|영어학|영어교육|테솔,영어I|영어II|영어권문화|진로영어|세계사|세계지리,영어연극|영미소설읽기|영어토론|팝송대회|번역봉사|영어캠프
명지대학교,인문,인문,미술사·역사학전공,역사와 예술 문화를 통합적으로 연구하는 전공,미술사|역사|문화유산|전시|큐레이터|도슨트|미술평론가|고고학|문화재|박물관|예술경영|서양미술,미술|미술감상과비평|세계사|한국사|사회·문화,전시기획|박물관봉사|미술관견학|작품비평|역사탐구|문화재답사
명지대학교,인문,인문,문헌정보학전공,"정보의 조직과 검색, 활용을 연구하는 전공",정보관리|아카이브|데이터|도서관|사서|정보검색사|기록관리|데이터베이스|지식정보|독서지도|메타데이터|정보시스템,국어|정보|사회·문화|확률과통계|문학,도서부|서가정리|독서프로그램기획|정보활용교육|분류실습|아카이빙
명지대학교,인문,인문,중어중문학전공,중국어와 중국 문화를 종합적으로 교육하는 전공,중국어|중국문화|지역학|통번역|무역|중국전문가|HSK|중국문학|한중교류|관광|해외영업,중국어I|중국어II|중국문화|동아시아사|세계지리,중국어말하기|중국문화체험|번역연습|중국영화감상|중국이슈탐구
명지대학교,인문,인문,일어일문학전공,일본어와 일본 문화를 학문적으로 탐구하는 전공,일본어|일본문화|언어|JLPT|일본전문가|통번역|일본기업|일본문학|한일관계|관광|출판,일본어I|일본어II|일본문화|세계사|사회·문화,일본어연극|원서읽기|일본문화발표|펜팔|일본여행계획|번역봉사
명지대학교,인문,인문,아랍지역학전공,아랍어와 중동 지역의 역사·문화를 연구하는 전공,아랍어|중동|지역학|문화|이슬람|중동전문가|해외건설|에너지외교|통번역|국제협력|석유|할랄,세계사|세계지리|국제정치|영어|사회·문화,아랍문화탐구|중동뉴스분석|제2외국어학습|문화비교|국제이슈토론
명지대학교,인문,인문,문예창작학과,소설·시·희곡 등 문학 창작을 교육하는 학과,문학창작|소설|시|글쓰기|작가|시나리오작가|웹소설|방송작가|카피라이터|스토리텔링|비평|출판,문학|국어|문학개론|문예창작입문|예술|연극,백일장|소설창작|시쓰기|문집제작|독서모임|합평회
명지대학교,인문,인문,행정학전공,공공 정책과 행정 조직 운영을 연구하는 전공,행정|정책|공공관리|공무원|공공기관|정책기획|지방행정|공익|법령|사회문제|리더십|조직론,정치와법|사회·문화|경제|생활과윤리|확률과통계,정책제안|모의국회|지역사회봉사|법규분석|토론동아리|학생회
명지대학교,인문,인문,정치외교학전공,국내외 정치 현상과 국제 관계를 분석하는 전공,정치|외교|국제관계|민주주의|정치인|외교관|언론인|국제기구|선거|정당|여론|남북관계,정치와법|국제정치|사회·문화|세계사|윤리와사상,모의유엔|선거캠페인|정치토론|신문스크랩|국제이슈분석|정당활동
명지대학교,인문,인문,경제학전공,경제 이론과 현실 경제 문제를 분석하는 전공,경제|시장|분석|이론|금융|은행|증권|공기업|경제학자|미시경제|거시경제|데이터분석,경제|경제수학|미적분|확률과통계|사회·문화|수학I,경제기사분석|모의주식|시장조사|경제토론|환율탐구|금융동아리
명지대학교,인문,인문,국제통상학전공,무역과 글로벌 경제 활동을 중심으로 교육하는 전공,국제통상|무역|글로벌경제|관세사|물류관리사|해외영업|무역실무|국제경영|KOTRA|외환딜러,국제경제|경제|영어|세계지리|중국어|사회·문화,무역서식작성|글로벌기업분석|영어프레젠테이션|무역박람회|경제동아리
명지대학교,인문,자연,응용통계학전공,통계 이론과 데이터 분석을 실무에 적용하는 전공,통계|데이터분석|모델링|빅데이터|데이터사이언티스트|리서치|금융공학|보험계리사|SPSS|R|파이썬|확률,확률과통계|미적분|기하|수학I|수학II|정보,통계포스터|설문조사분석|데이터시각화|코딩학습|수학동아리|사회현상분석
명지대학교,인문,인문,법학과,법 이론과 제도를 체계적으로 교육하는 학과,법|법이론|공공성|제도|변호사|판사|검사|법무사|노무사|공무원|로스쿨|인권,정치와법|사회·문화|생활과윤리|윤리와사상|화법과작문,법정참관|모의재판|판례연구|자치법정|법률상담봉사|헌법토론
명지대학교,인문,인문,경영학전공,기업과 조직의 경영 활동 전반을 연구하는 전공,경영|조직|전략|마케팅|CEO|회계|인사|재무|컨설팅|창업|경영지원|금융,경제|수학I|확률과통계|사회·문화|정보|실용경제,창업아이템|마케팅전략수립|기업분석|모의경영|경영동아리|리더십활동
명지대학교,인문,자연,경영정보학과,정보기술을 경영에 활용하는 방법을 연구하는 학과,경영정보|IT|데이터|시스템|MIS|시스템분석가|IT컨설턴트|데이터분석|전자상거래|프로그래밍|웹기획|스마트비즈니스,정보|경제|확률과통계|미적분|사회·문화,앱기획|쇼핑몰구축|데이터분석실습|코딩동아리|IT트렌드조사|경영전략
명지대학교,인문,인문,디지털미디어학부,미디어 콘텐츠와 커뮤니케이션을 융합적으로 연구,디지털미디어|콘텐츠|커뮤니케이션|PD|기자|영상제작|뉴미디어|방송|광고홍보|SNS마케팅|유튜브|편집,사회·문화|언어와매체|미술|정보|화법과작문,영상UCC|단편영화|학교뉴스|광고제작|미디어비평|방송반
명지대학교,인문,인문,청소년지도학전공,청소년 성장과 발달을 지원하는 이론과 실천을 교육,청소년|지도|상담|발달|청소년지도사|상담사|수련관|방과후교사|교육복지|심리|청소년문화|프로그램기획,생활과윤리|윤리와사상|심리학|사회·문화|교육학,멘토링봉사|청소년캠프|상담실습|또래상담|봉사동아리|심리검사
명지대학교,인문,인문,아동학전공,아동 발달과 복지를 과학적으로 연구하는 전공,아동발달|복지|보육|유치원교사|보육교사|아동상담|놀이치료|아동심리|어린이집|아동권리|가족복지,생활과윤리|가정과학|심리학|사회·문화|음악|미술,보육봉사|아동관찰일지|교구제작|동화구연|유치원견학|아동미술
명지대학교,인문,자연,응용소프트웨어전공,소프트웨어 개발과 시스템 구현을 중심으로 교육,소프트웨어|개발|시스템|프로그래밍|개발자|응용프로그램|모바일앱|SI|솔루션|자바|파이썬|C언어,정보|정보과학|미적분|확률과통계|수학II,코딩프로젝트|앱개발|알고리즘풀이|SW동아리|게임제작|IT봉사
명지대학교,인문,자연,데이터사이언스전공,데이터 분석과 인공지능 기술을 활용하는 융합 전공,데이터사이언스|AI|분석|융합|빅데이터|머신러닝|딥러닝|데이터엔지니어|통계분석|인공지능|시각화|알고리즘,확률과통계|미적분|기하|정보|인공지능기초,데이터크롤링|분석보고서|AI모델학습|캐글대회|통계활용|수학탐구
명지대학교,인문,자연,인공지능전공,지능형 시스템과 인공지능 기술을 연구하는 전공,인공지능|AI|지능형시스템|딥러닝|머신러닝|자연어처리|컴퓨터비전|로봇|데이터|알고리즘|텐서플로우|파이토치,미적분|기하|확률과통계|정보|인공지능기초|인공지능수학,AI챗봇만들기|이미지인식|알고리즘구현|인공지능동아리|SW프로젝트|논문구현
명지대학교,인문,인문,디지털콘텐츠디자인학과,디지털 환경에 적합한 콘텐츠와 디자인을 교육,디지털콘텐츠|디자인|UX|미디어|UI|웹디자인|모션그래픽|영상디자인|인터랙티브|VR/AR|3D모델링|애니메이션,미술|정보|언어와매체|사회·문화|미술창작,디자인포트폴리오|영상편집|캐릭터디자인|웹툰창작|전시회|그래픽작업
명지대학교,인문,인문,자율전공학부(인문),인문·사회 분야를 폭넓게 탐색하는 학부,인문학|사회과학|융합|전공탐색|자율설계|다학제|진로탐색|기초소양|융복합|인문교양,국어|사회|영어|윤리|역사|철학,독서토론|전공체험|다양한동아리|진로멘토링|인문학특강|글쓰기
명지대학교,자연,자연,화학나노학전공,화학 기반 나노 물질과 기술을 연구하는 전공,나노소재|화학|기술|나노기술|화학자|신소재|의약품|반도체소재|고분자|화학분석|연구원|나노입자,화학I|화학II|물리학I|미적분|기하,나노입자합성|화학실험|신소재탐구|과학논문분석|R&E|실험동아리
명지대학교,자연,자연,융합에너지학전공,지속 가능한 에너지 기술을 연구하는 전공,에너지|신재생|융합기술|태양광|수소에너지|배터리|에너지공학|친환경|지속가능성|에너지효율|탄소중립,물리학I|물리학II|화학I|화학II|미적분|지구과학I,에너지효율실험|태양광전지제작|환경동아리|에너지정책탐구|융합과학프로젝트
명지대학교,자연,자연,식품영양학전공,식품과 영양을 과학적으로 분석하는 전공,식품|영양|건강|과학|식품공학|영양사|위생사|식품개발|발효|기능성식품|급식|푸드테크,화학I|화학II|생명과학I|생명과학II|가정과학,식품분석실험|영양상담|발효식품만들기|식단구성|건강동아리|요리실습
명지대학교,자연,자연,시스템생명과학전공,생명 현상을 통합적으로 이해하는 전공,생명과학|시스템|바이오|유전체|생물정보학|시스템생물학|생명공학|제약|바이오시밀러|미생물|세포|연구,생명과학I|생명과학II|화학I|확률과통계|정보,DNA분석|생물정보학실습|유전자탐구|과학동아리|생명윤리토론|논문리뷰
명지대학교,자연,자연,기계시스템공학부,기계와 시스템 설계를 종합적으로 교육하는 학부,기계|시스템설계|역학|로봇|자동차|메카트로닉스|CAD|설계|제어|기구학|유체역학|열역학,물리학I|물리학II|미적분|기하|정보,로봇제작|3D프린팅|기계설계|물리실험|드론만들기|발명대회
명지대학교,자연,자연,건설환경공학전공,사회 기반 시설과 환경 문제를 다루는 전공,건설|환경|인프라|토목|구조|수자원|지반|도로|교량|도시공학|시공|친환경건설,물리학I|물리학II|지구과학I|지구과학II|미적분|기하,다리모형제작|지반조사|수질정화|구조역학실험|환경캠페인|도시모형
